,Name,Salary,Age,Team,Games,Rebounds,Assists,Steals,Blocks,Turnovers,Points
230,James Johnson,3841067,35,IND,18,1.7,0.8,0.4,0.3,0.4,2.8
150,Kevon Looney,8000000,26,GSW,82,9.3,2.5,0.6,0.6,0.5,7.0
176,Cameron Payne,6000000,28,PHO,48,2.2,4.5,0.7,0.2,1.7,10.3
49,John Collins,23500000,25,ATL,71,6.5,1.2,0.6,1.0,1.1,13.1
291,Damian Jones,2298385,27,LAL/UTA,41,3.0,0.4,0.2,0.5,0.6,3.5
98,Josh Hart,12960000,27,NYK/POR,76,7.8,3.8,1.2,0.3,1.5,9.8
348,Max Strus,1815677,26,MIA,80,3.2,2.1,0.5,0.2,0.9,11.5
22,Myles Turner,35096500,26,IND,62,7.5,1.4,0.6,2.3,1.7,18.0
81,Marcus Morris,16372093,33,LAC,65,4.0,1.8,0.6,0.3,0.9,11.2
27,Joel Embiid,33616770,28,PHI,66,10.2,4.2,1.0,1.7,3.4,33.1
61,Nicolas Batum,19700319,34,LAC,78,3.8,1.6,0.7,0.6,0.6,6.1
410,Dominick Barlow,508891,19,SAS,28,3.6,0.9,0.4,0.7,0.5,3.9
113,Bobby Portis,10843350,27,MIL,70,9.6,1.5,0.4,0.2,1.2,14.1
279,Isaiah Jackson,2573760,21,IND,63,4.5,0.8,0.5,1.5,0.8,7.2
349,Tre Jones,1782621,23,SAS,68,3.6,6.6,1.3,0.1,1.6,12.9
412,Keon Ellis,508891,23,SAC,16,0.5,0.4,0.3,0.1,0.1,1.5
302,Jaden McDaniels,2161440,22,MIN,79,3.9,1.9,0.9,1.0,1.4,12.1
101,Chris Boucher,12690000,30,TOR,76,5.5,0.4,0.6,0.8,0.5,9.4
248,Josh Green,3098400,22,DAL,60,3.0,1.7,0.7,0.1,1.2,9.1
92,Doug McDermott,13750000,31,SAS,64,2.2,1.4,0.2,0.1,0.9,10.2
77,Norman Powell,16758621,29,LAC,60,2.9,1.8,0.8,0.3,1.7,17.0
334,Davon Reed,1902133,27,DEN/LAL,43,1.4,0.5,0.3,0.1,0.5,2.1
343,Isaiah Joe,1836090,23,OKC,73,2.4,1.2,0.7,0.1,0.5,9.5
78,Collin Sexton,16700000,24,UTA,48,2.2,2.9,0.6,0.1,1.8,14.3
320,Thomas Bryant,1968175,25,DEN/LAL,59,5.7,0.5,0.3,0.5,0.6,9.8
7,Paul George,42492492,32,LAC,56,6.1,5.1,1.5,0.4,3.1,23.8
126,Landry Shamet,9500000,25,PHO,40,1.7,2.3,0.7,0.1,0.9,8.7
44,Jalen Brunson,27733332,26,NYK,68,3.5,6.2,0.9,0.2,2.1,24.0
56,Domantas Sabonis,21100000,26,SAC,79,12.3,7.3,0.8,0.5,2.9,19.1
67,Clint Capela,18206896,28,ATL,65,11.0,0.9,0.7,1.2,0.8,12.0
183,Pat Connaughton,5728393,30,MIL,61,4.6,1.3,0.6,0.2,0.5,7.6
54,Fred VanVleet,21250000,28,TOR,69,4.1,7.2,1.8,0.6,2.0,19.3
372,Isaiah Livers,1563518,24,DET,52,2.8,0.8,0.5,0.5,0.6,6.7
18,Trae Young,37096500,24,ATL,73,3.0,10.2,1.1,0.1,4.1,26.2
51,Malcolm Brogdon,22600000,30,BOS,67,4.2,3.7,0.7,0.3,1.5,14.9
13,Khris Middleton,37984276,31,MIL,33,4.2,4.9,0.7,0.2,2.2,15.1
161,Isaac Okoro,7040880,22,CLE,76,2.5,1.1,0.7,0.4,0.6,6.4
397,PJ Dozier,784654,26,SAC,16,0.9,0.6,0.4,0.1,0.3,1.4
379,Jordan Goodwin,1280206,24,WAS,62,3.3,2.7,0.9,0.4,0.9,6.6
87,Kevin Huerter,14508929,24,SAC,75,3.3,2.9,1.1,0.3,1.3,15.2
292,Bryn Forbes,2298385,29,MIN,25,0.6,0.7,0.3,0.1,0.5,3.6
338,Thanasis Antetokounmpo,1878720,30,MIL,37,1.2,0.4,0.1,0.1,0.3,1.4
139,Kyle Anderson,8780488,29,MIN,69,5.3,4.9,1.1,0.9,1.5,9.4
204,Ziaire Williams,4591680,21,MEM,37,2.1,0.9,0.4,0.2,1.0,5.7
266,Precious Achiuwa,2840160,23,TOR,55,6.0,0.9,0.6,0.5,1.1,9.2
138,Isaiah Hartenstein,8854879,24,NYK,82,6.5,1.2,0.6,0.8,0.8,5.0
284,Montrezl Harrell,2463490,29,PHI,57,2.8,0.6,0.3,0.4,0.6,5.6
267,Christian Braun,2808600,21,DEN,76,2.4,0.8,0.5,0.2,0.5,4.7
241,Amir Coffey,3395062,25,LAC,50,1.1,1.1,0.1,0.1,0.4,3.4
287,Isaiah Roby,2330681,24,SAS,42,2.5,0.9,0.4,0.2,0.7,4.1
405,Johnny Juzang,508891,21,UTA,18,2.2,0.4,0.2,0.2,0.2,4.8
107,Reggie Jackson,11457217,32,DEN/LAC,68,2.1,3.4,0.7,0.1,1.7,10.2
439,Chris Silva,211045,26,DAL,1,0.0,0.0,0.0,0.0,1.0,2.0
202,Ty Jerome,4728948,25,GSW,45,1.7,3.0,0.5,0.1,0.7,6.9
37,Jayson Tatum,30351780,24,BOS,74,8.8,4.6,1.1,0.7,2.9,30.1
115,Anthony Edwards,10733400,21,MIN,79,5.8,4.4,1.6,0.7,3.3,24.6
431,Dru Smith,374357,25,BRK/MIA,15,1.6,1.5,0.7,0.3,0.2,2.9
1,John Wall,47345760,32,LAC,34,2.7,5.2,0.8,0.4,2.4,11.4
458,Jordan Schakel,96514,24,WAS,2,0.0,0.5,0.5,0.0,0.0,1.5
392,Admiral Schofield,877940,25,ORL,37,1.7,0.8,0.2,0.1,0.4,4.2
85,Tyus Jones,15000000,26,MEM,80,2.5,5.2,1.0,0.1,0.9,10.3
459,Stanley Umude,58493,23,DET,1,0.0,0.0,1.0,1.0,0.0,2.0
94,Zion Williamson,13534817,22,NOP,29,7.0,4.6,1.1,0.6,3.4,26.0
131,Royce O'Neale,9200000,29,BRK,76,5.1,3.7,0.9,0.6,1.5,8.8
427,John Butler,503041,20,POR,19,0.9,0.6,0.4,0.5,0.1,2.4
50,Mike Conley,22680000,35,MIN/UTA,67,2.7,6.7,1.1,0.2,1.5,11.9
118,Mo Bamba,10300000,24,LAL/ORL,49,4.6,0.9,0.3,0.9,0.6,6.6
388,Ryan Rollins,1017781,20,GSW,12,1.0,0.5,0.1,0.1,1.3,1.9
153,Patrick Williams,7775400,21,CHI,82,4.0,1.2,0.9,0.9,1.2,10.2
402,Carlik Jones,612162,25,CHI,7,0.7,0.9,0.3,0.0,0.3,2.9
